school,state,staff_directory,has_pagination,is_dynamic,
manistee high school,michigan,https://chipslead.org/manistee-middle-high-school/,,,
chicago technology academy high school,illinois,https://chitech.org/,,,
san juan choices charter,california,https://choicescharter.org/,,,
cholla high school,arizona,https://chollahs.tusd1.org/,,,
chavezhuerta k 12 preparatory academy,colorado,https://chpa-k12.org/,,,
christel house dors,indiana,https://christelhouse.org/,,,
christian county high school,kentucky,https://christiancountyhigh.christian.kyschools.us/,,,
christ lutheran high school,illinois,https://christlutheranbuckley.com,,,
croatan high school,north carolina,https://chs-ccs-nc.schoolloop.com/,,,
compton high school,california,https://chs-compton-ca.schoolloop.com/,,,
cahokia high school,illinois,https://chs-cusd187-il.schoolloop.com/,,,
churchill high school,oregon,https://chs.4j.lane.edu/,,,
clinton high school,tennessee,https://chs.acs.ac/,,,
bay city central high school,michigan,https://chs.bcschools.net/en-US?showHomepage=true,,,
castor high school,louisiana,https://chs.bpsb.us/,,,
cache high school,oklahoma,https://chs.cacheps.org/,,,
caldwell senior high school,idaho,https://chs.caldwellschools.org/,,,
calvert high,maryland,https://chs.calvertnet.k12.md.us/,,,
camdenton high school,missouri,https://chs.camdentonschools.org/,,,
canadian high school,texas,https://chs.canadianisd.net/,,,
central high school,missouri,https://chs.capetigers.com/,,,
carrollton high school,georgia,https://chs.carrolltoncityschools.net/,,,
castleberry high school,texas,https://chs.castleberryisd.net/,,,
columbia high school,texas,https://chs.cbisd.com/,,,
chaffee jr sr high school,missouri,https://chs.chaffee.k12.mo.us/,,,
chamberlain high school,south dakota,https://chs.chamberlain.k12.sd.us/,,,
chariho regional high school,california,https://chs.chariho.k12.ri.us/,,,
cheraw high school,south carolina,https://chs.chesterfieldschools.org/,,,
chicopee high school,massachusetts,https://chs.chicopeeps.org/,,,
childress high school,texas,https://chs.childressisd.net/o/high-school,,,
coalinga high school,california,https://chs.chusd.org/,,,
clinton sr high school,missouri,https://chs.clintoncardinals.org/,,,
clinton high school,arkansas,https://chs.clintonsd.org/,,,
cloverdale high school,indiana,https://chs.cloverdale.k12.in.us/,,,
coffee county central high school,tennessee,https://chs.coffeecountyschools.com/,,,
coloma high school,michigan,https://chs.coloma.org/,,,
columbia high school,mississippi,https://chs.columbiaschools.org/,,,
columbus high school,mississippi,https://chs.columbuscityschools.org/,,,
columbus high school,texas,https://chs.columbusisd.org/,,,
commerce high school,georgia,https://chs.commercecityschools.org/,,,
commerce high school,texas,https://chs.commerceisd.org/,,,
community high school,texas,https://chs.communityisd.org/,,,
corinth high school,mississippi,https://chs.corinth.k12.ms.us/,,,
coronado high school,california,https://chs.coronadousd.net/,,,
cotulla high school,texas,https://chs.cotullaisd.net/,,,
covington high,virginia,https://chs.covington.k12.va.us/,,,
corvallis high school,oregon,https://chs.csd509j.net/,,,
chequamegon high school,wisconsin,https://chs.csdk12.net/,,,
communications high school,new jersey,https://chs.ctemc.org/,,,
carpinteria senior high,california,https://chs.cusd.net,,,
cape hatteras secondary school,north carolina,https://chs.daretolearn.org/,,,
