school_name,state,website,staff_directory
warren county vocational technical school,new jersey,http://www.wctech.org/wcts/,http://www.wctech.org/wcts/Faculty/Staff/
weber high,utah,http://www.whs.weber.k12.ut.us/,http://www.whs.weber.k12.ut.us/index.php/staff-directory/staff-list
winnebago lutheran academy,wisconsin,http://www.wlavikings.org/,https://wlavikings.org/about/faculty/
west side ctc,pennsylvania,http://www.wsctc.net/,http://www.wsctc.net/../about/faculty.html
wylie preparatory academy,texas,http://www.wylieprep.com/,https://www.wylieprep.com/staff/
forest park high school,georgia,https://001.clayton.k12.ga.us/,https://001.clayton.k12.ga.us/departments/athletics/2019-2020_coaching_staff
riverdale high school,georgia,https://005.clayton.k12.ga.us/,https://005.clayton.k12.ga.us/departments/support_staff
21st century charter school at gary,indiana,https://21cchartergary.org/,https://21cchartergary.org/teachers-and-staff/
prattville christian academy,alabama,https://4pca.org/,https://4pca.org/staff/
academy of arts and academics,oregon,https://a3school.org/,https://a3school.org/staff/
accelerated achievement academy,california,https://aaa.hesd.org/,https://hesd.org/en-US/staff
american academy of innovation,utah,https://aaiutah.org/,https://aaiutah.org/about/administration-staff/
henry abbott technical high school,connecticut,https://abbott.cttech.org/,https://abbott.cttech.org/about/staff-directory/
academy 21,michigan,https://ac21.clps.org/,https://ac21.clps.org/apps/pages/staff-5
abbeville christian academy,alabama,https://acagenerals.org/,https://acagenerals.org/staff-administration-2/
another course to college,massachusetts,https://accbps.org/,https://accbps.org/faculty-and-staff
anson county early college high,north carolina,https://acec.ansonschools.org/,https://acec.ansonschools.org/ACEC/Staff/
ace leadership high school,new mexico,https://aceleadership.org/,https://aceleadership.org/about/staff/
adams central junior senior high school,nebraska,https://adamscentral.us/schools/jr-sr-high/,https://adamscentral.us/staff-directory.html
adams city high school,colorado,https://adamscityhigh.adams14.net/,https://adamscityhigh.adams14.net/our-staff/
academy of environmental science,florida,https://aes.citrusschools.org/,https://aes.citrusschools.org/staff/aes_personnel
american fork high,utah,https://afhs.alpineschools.org/,https://afhs.alpineschools.org/faculty-staff/
ash grove high,missouri,https://aghs.agpirates.com/,https://aghs.agpirates.com/about-us/staff-directory
amite high school,louisiana,https://ahms.tangischools.org/,https://ahms.tangischools.org/directory
airport senior high school,michigan,https://ahs.airportschools.com/,https://ahs.airportschools.com/en-US/staff
alamosa high school,colorado,https://ahs.alamosa.k12.co.us/en-US,http://ahs.alamosa.k12.co.us/en-US/staff
arcadia high school,wisconsin,https://ahs.arcadia.k12.wi.us/,https://ahs.arcadia.k12.wi.us/who-we-are/staff-directory
austin senior high school,minnesota,https://ahs.austin.k12.mn.us/,https://www.austin.k12.mn.us/district-resources/staff-directory
airport high school,south carolina,https://ahs.lex2.org/,https://ahs.lex2.org/apps/staff/
anclote high school,florida,https://ahs.pasco.k12.fl.us/,https://ahs.pasco.k12.fl.us/office-staff/
annapolis high school,michigan,https://ahsdhsd7.district7.net/,https://ahsdhsd7.district7.net/apps/staff/
andrew jackson high school,south carolina,https://ajhs.lancastercsd.com/,https://ajhs.lancastercsd.com/staff-directory
alburnett junior senior high school,iowa,https://alburnettcsd.org/schools/alburnett-high-school/,https://alburnettcsd.org/district-info/staff-directory/
duluth area learning center,minnesota,https://alc.isd709.org/,https://alc.isd709.org/about-us/staff-directory
rochester alternative learning center,minnesota,https://alc.rochesterschools.org/,https://alc.rochesterschools.org/about-us/staff-directory
abundant life christian academy,arkansas,https://alca-owls.com/,https://alca-owls.com/our-staff
alcott humanities high school,illinois,https://alcottcollegeprep.org/,https://alcottcollegeprep.org/staff-faculty
alder grove charter school 2,california,https://aldergrovecharter.org,https://aldergrovecharter.org/welcome/staff/
abraham lincoln high school,colorado,https://alhs.dpsk12.org/,https://alhs.dpsk12.org/about/staff-directory/
archbishop alter high school,ohio,https://alterhs.org,https://alterhs.org/staff-faculty-directory/
american senior high school,florida,https://americanshs.net/,https://americanshs.net/faculty-staff-directory/
avon park high school,florida,https://aph.highlands.k12.fl.us/,https://aph.highlands.k12.fl.us/about-aph/faculty
aplington parkersburg high school,iowa,https://aphs.a-pcsd.net/,https://aphs.a-pcsd.net/en-US/staff
aquinas and st marys catholic schools,nebraska,https://aquinas-catholic.com/,https://aquinas-catholic.com/staff/
great hearts academies mesa prep,arizona,https://archwayarete.greatheartsamerica.org/,https://archwayarete.greatheartsamerica.org/about-us/faculty-staff/
argus high continuation,california,https://argus.ceres.k12.ca.us/,https://argus.ceres.k12.ca.us/o/cusd/page/district-contacts
arise high school,california,https://arisehighschool.org/,https://arisehighschool.org/staff-directory
international leadership of texas arlington grand prairie,texas,https://arlingtongrandprairiehs.iltexas.org/?utm_source=local&utm_medium=organic,https://arlingtongrandprairiehs.iltexas.org/?utm_source=local&utm_medium=organic/staff-directory
army and navy academy,california,https://armyandnavyacademy.org/admissions-boarding-school/,https://www.armyandnavyacademy.org/contact-ana/staff-directory/
amherst regional high school,massachusetts,https://arps.org/arhs/,https://arps.org/arhs/staff-directory
arts and college preparatory academy,ohio,https://artcollegeprep.org/,https://artcollegeprep.org/about/staff/
the arts and college preparatory academy,ohio,https://artcollegeprep.org/,https://artcollegeprep.org/about/staff/
vancouver school of arts and academics,washington,https://arts.vansd.org/,https://arts.vansd.org/directory-and-staff/
agriculture and science early college,north carolina,https://asec.issnc.org/,https://asec.issnc.org/about-us/faculty-staff-directory
academy for urban scholars youngstown,ohio,https://ausohio.com/youngstown-portal/youngstown-staffing/,https://ausohio.com/youngstown-portal/youngstown-staffing/
baystate academy charter public school,massachusetts,https://bacps.net/,https://bacps.net/home/about-us/our-team/
burnsville alternative high school,minnesota,https://bahs.isd191.org/,https://bahs.isd191.org/connect/staff-directory
bakersfield high,california,https://bakersfield.kernhigh.org/,https://bakersfield.kernhigh.org/apps/staff/
bartram john main,pennsylvania,https://bartram.philasd.org/,https://bartram.philasd.org/faculty-staff/
bound brook high school,new jersey,https://bbhs.bbrook.org/,https://bbhs.bbrook.org/our-school/staff-directory/
boynton beach community high school,florida,https://bbhs.palmbeachschools.org/,https://bbhs.palmbeachschools.org/districtdirectory
broken bow high school,nebraska,https://bbps.org/high-school/,https://bbps.org/bbps-staff-directory/
breaux bridge high school,louisiana,https://bbsh.saintmartinschools.org/,https://bbsh.saintmartinschools.org/about/staff-directory
buncombe county early college,north carolina,https://bcec.buncombeschools.org/,https://bcec.buncombeschools.org/o/bcec/staff
battery creek high school,south carolina,https://bchs.beaufortschools.net/,https://bchs.beaufortschools.net/directory
brantley county high school,georgia,https://bchs.brantley.k12.ga.us/,https://bchs.brantley.k12.ga.us/staff
bryan collegiate high school,texas,https://bcollegiate.bryanisd.org/,https://bcollegiate.bryanisd.org/o/bcollegiate/staff
bethany community school,north carolina,https://bcswolves.org/,https://bcswolves.org/about/staff-directory/
boston day and evening academy charter school,massachusetts,https://bdea.com/,https://bdea.org/bdea-team/
jefferson forest high school,virginia,https://bedfordjfhs.sharpschool.net/,https://bedfordjfhs.sharpschool.net/our_staff/staff_directory
liberty high school,virginia,https://bedfordlhs.sharpschool.net/,https://bedfordlhs.sharpschool.net/our_staff/staff_directory
bamberg ehrhardt high school,south carolina,https://behs.bambergschools.org/,https://behs.bambergschools.org/schoolstaff
ben lomond high school,utah,https://benlomond.ogdensd.org/,https://benlomond.ogdensd.org/faculty-staff
benzie central high school,michigan,https://benzieschools.net/,https://benzieschools.net/benzie-central-high/staff/
benzie central sr high school,michigan,https://benzieschools.net/,https://benzieschools.net/benzie-central-high/staff/
bronx engineering and technology academy,new york,https://betabronx.org/,https://betabronx.org/staff
blair oaks high school,missouri,https://bhs-bosd-mo.schoolloop.com/,https://bhs-bosd-mo.schoolloop.com/administrativestaff
bandera high school,texas,https://bhs.banderaisd.net/,https://bhs.banderaisd.net/apps/staff
beaufort high school,south carolina,https://bhs.beaufortschools.net/,https://bhs.beaufortschools.net/directory
bainbridge high school,georgia,https://bhs.boe.dcboe.com/,https://boedcboecom.finalsite.com/directory
boling high school,texas,https://bhs.bolingisd.net/,https://bhs.bolingisd.net/apps/staff/
batavia senior high school,illinois,https://bhs.bps101.net/,https://bhs.bps101.net/staff/
bridgeton high school,new jersey,https://bhs.bridgeton.k12.nj.us/,https://bhs.bridgeton.k12.nj.us/staff_directory
burrillville high school,rhode island,https://bhs.bsd-ri.net/,https://bhs.bsd-ri.net/about-us/staff-directory
burlington high school,vermont,https://bhs.bsdvt.org/,https://bhs.bsdvt.org/staff/
barstow high school,california,https://bhs.busdk12.com/,https://bhs.busdk12.com/our-school/staff-directory
bountiful high school,utah,https://bhs.davis.k12.ut.us/,https://www.davis.k12.ut.us/district/about/staff-directory
belvidere high school,illinois,https://bhs.district100.com/,https://bhs.district100.com/directory
brownsboro high school,texas,https://bhs.gobearsgo.net/,https://bhs.gobearsgo.net/apps/staff/
bethel high school,virginia,https://bhs.hampton.k12.va.us/,https://bhs.hampton.k12.va.us/home/faculty-and-staff/staff
buford high school,south carolina,https://bhs.lancastercsd.com/,https://bhs.lancastercsd.com/home/staff
barrow high school,alaska,https://bhs.nsbsd.org/en,https://bhs.nsbsd.org/en-US/staff
belfry high school,kentucky,https://bhs.pike.kyschools.us/,https://bhs.pike.kyschools.us/staff-directory
brandon high school,mississippi,https://bhs.rcsd.ms/,https://bes.rcsd.ms/faculty-staff
bard early college cleveland,ohio,https://bhsec.bard.edu/cleveland/,https://bhsec.bard.edu/cleveland/our-people/staff/
bard high school early college dc bard dc,district of columbia,https://bhsec.bard.edu/dc/,https://bhsec.bard.edu/dc/our-people/staff/
crater school of business innovation and science,oregon,https://bis.district6.org/,https://bis.district6.org/staff-directory/
bishop john snyder high school,florida,https://bishopsnyderorg.finalsite.com/,https://bishopsnyderorg.finalsite.com/academics/faculty-and-staff
blanchester high school,ohio,https://blanschools.org/blanchester-high-school/,https://www.blanschools.org/blanchester-high-school/staff-directory/
banning lewis ranch academy,colorado,https://blracademy.org/,https://blracademy.org/about/#staff
blue hills regional vocational technical,massachusetts,https://bluehills.org/,https://bluehills.org/about/faculty-and-staff-contacts/
battle mountain high school,colorado,https://bmhs.eagleschools.net/,https://bmhs.eagleschools.net/about-us/staff-directory
boca prep international school,florida,https://bocaprep.net/,https://bocaprep.net/meet-the-staff/
william w bodine high school,pennsylvania,https://bodine.philasd.org/,https://bodine.philasd.org/faculty-staff/
chapmanville regional high school,west virginia,https://boe.logan.k12.wv.us/,https://boe.logan.k12.wv.us/o/lcs/page/human-resources-and-personnel
boulder city high school,nevada,https://bouldercityhighschool.com/,https://bouldercityhighschool.com/staff/
bowsher high school,ohio,https://bowsherhighschool.tps.org/,https://www.tps.org/discover_tps/T_P_S_directory
bradford christian academy,massachusetts,https://bradfordchristianacademy.org/,https://bradfordchristianacademy.org/directory/
harold t branch academy for career and technical educational,texas,https://branch.ccisd.us/,https://branch.ccisd.us/Directory
brandon valley high school,south dakota,https://brandonvalley.k12.sd.us/bvhs/,https://brandonvalley.k12.sd.us/bvhs/bvhs_staff.html
brentsville district high school,virginia,https://brentsvillehs.pwcs.edu/,https://brentsvillehs.pwcs.edu/directory/index
broomfield high school,colorado,https://brh.bvsd.org/,https://brh.bvsd.org/about/staff-directory
bethel regional high school,alaska,https://brhs.lksd.org/,https://brhs.lksd.org/staff_directory
briarwood academy,georgia,https://briarwoodacademy.com/,https://briarwoodacademy.com/faculty/
bronx river high school,new york,https://bronxriverhighschool.org/,https://bronxriverhighschool.org/staff-directory/
brooklyn lab school,new york,https://brooklynlabschool.org/,https://brooklynlabschool.org/staff-directory/
bruce randolph school,colorado,https://brucerandolph.dpsk12.org/,https://brucerandolph.dpsk12.org/staff-directory/
blessed sacrament huguenot,virginia,https://bshknights.org/,https://bshknights.org/academics/faculty/
blessed sacrament huguenot school,virginia,https://bshknights.org/,https://bshknights.org/academics/faculty/
bonner springs high school,kansas,https://bshs.usd204.com/,https://bshs.usd204.com/staff_directory
burlington high school,colorado,https://burlingtonk12.org/high-school-dashboard/,https://burlingtonk12.org/district-staff/
burton adventist academy,texas,https://burtonacademy.org/,https://burtonacademy.org/faculty-and-staff
